|id|title|release_year|developer
88409|4760.0|Rome: Total War™ - Collection|2004|The Creative Assembly
88410|4770.0|Rome: Total War™ - Alexander|2006|The Creative Assembly
88411|50970.0|Mystery Case Files: Madame Fate®|2007|Big Fish Games
88412|12170.0|Grand Theft Auto|1998|Rockstar North
88413|12180.0|Grand Theft Auto 2|1999|Rockstar North
88414|12130.0|Manhunt|2004|Rockstar North
88415|12160.0|Midnight Club 2|2003|Rockstar San Diego
88416|12150.0|Max Payne 2: The Fall of Max Payne|2003|Remedy Entertainment
88417|7000.0|Tomb Raider: Legend|2006|Crystal Dynamics
88418|12140.0|Max Payne|2001|Remedy Entertainment
88419|17480.0|Command &amp; Conquer: Red Alert 3|2008|EA Los Angeles
88420|12500.0|PuzzleQuest: Challenge of the Warlords|2007|Infinite Interactive
88421|12310.0|Culpa Innata|2007|Momentum Digital Media Technologies
88422|12510.0|Prison Tycoon 3™: Lockdown|2007|Gamebryo,Virtual Playground
88423|12530.0|Hunting Unlimited™ 2008|2007|SCS Software
88424|12520.0|18 Wheels of Steel: American Long Haul|2007|SCS Software
88425|8100.0|Conflict: Denied Ops|2008|Pivotal Games
88426|2780.0|ARMA: Combat Operations|2007|Bohemia Interactive
88427|9730.0|Tycoon City: New York|2006|Retroism
88428|9710.0|Desperados 2: Cooper's Revenge|2006|Spellbound
88429|9800.0|Death to Spies|2007|Haggard Games
88430|9760.0|Act of War: High Treason|2006|Eugen Systems
88431|2700.0|RollerCoaster Tycoon® 3: Platinum|2006|Frontier,Aspyr (Mac)
88432|2710.0|Act of War: Direct Action|2005|Eugen Systems
88433|13200.0|Unreal 2: The Awakening|2003|Epic Games, Inc.
88434|13250.0|Unreal Gold|1998|Epic Games, Inc.
88435|13000.0|Ninja Reflex: Steamworks Edition|2008|Sanzaru Games
88436|13560.0|Tom Clancy's Splinter Cell®|2003|Ubisoft
88437|13520.0|Far Cry®|2004|Crytek Studios
88438|13240.0|Unreal Tournament: Game of the Year Edition|2000|Epic Games, Inc.
88439|13540.0|Tom Clancy's Rainbow Six® Vegas|2006|Ubisoft Montreal
88440|15210.0|Silent Hunter® III|2005|Ubisoft
88441|16180.0|Virtual Villagers - The Secret City|2008|Last Day of Work
88442|3520.0|Mystery P.I.™ - The Vegas Heist|2008|SpinTop Games
88443|15970.0|Luxor|2008|MumboJumbo
88444|15950.0|Reaxxion|2008|MumboJumbo
88445|15960.0|Little Farm|2008|MumboJumbo
88446|15900.0|7 Wonders II|2008|MumboJumbo
88447|15910.0|Luxor Amun Rising|2005|MumboJumbo
88448|15930.0|Luxor 3|2007|MumboJumbo
88449|15160.0|Petz® Horsez® 2|2007|Ubisoft
88450|15920.0|Luxor 2|2005|MumboJumbo
88451|15080.0|Rayman Raving Rabbids™|2007|Ubisoft Bulgaria,Ubisoft Montpellier
88452|15200.0|Silent Hunter®: Wolves of the Pacific|2007|Ubisoft Romania
88453|15320.0|IL-2 Sturmovik: 1946|2006|1C: Maddox Games
88454|15240.0|Silent Hunter®: Wolves of the Pacific U-Boat Missions|2008|Ubisoft Romania
88455|8310.0|Bone: Out From Boneville|2005|Telltale Games
88456|12600.0|Midnight Outlaw: 6 Hours to SunUp|2005|Merscom,Babylon
88457|8320.0|Bone: The Great Cow Race|2006|Telltale Games
88458|12590.0|Sprint Cars Road to Knoxville|2008|BigAnt Studios
88459|12580.0|Dr. Daisy Pet Vet|2008|Zemnott
88460|12560.0|Ride! Carnival Tycoon|2007|Gabriel Entertainment
88461|12570.0|Hot Dish|2008|Zemnott
88462|12540.0|Mahjongg Investigations: Under Suspicion|2007|Zemnott
88463|11050.0|Dracula Origin|2008|Frogwares
88464|10520.0|Beijing 2008™ - The Official Video Game of the Olympic Games|2008|Eurocom
88465|11040.0|Sherlock Holmes - Nemesis|2008|Frogwares
88466|19500.0|Eternity's Child|2008|Luc Bernard,SilverSphereStudios
88467|11260.0|Pacific Storm Allies|2007|Lesta Studio
88468|19200.0|Tank Universal|2008|Dialogue Design
88469|12360.0|FlatOut: Ultimate Carnage|2008|Bugbear Entertainment
88470|15710.0|Oddworld: Abe's Exoddus®|1998|Oddworld Inhabitants
88471|15700.0|Oddworld: Abe's Oddysee®|1997|Oddworld Inhabitants
88472|8660.0|GTR Evolution Expansion Pack for RACE 07|2008|SimBin
88473|7770.0|X-COM: Enforcer|2001|MicroProse Software, Inc
88474|7660.0|X-COM: Apocalypse|1997|MicroProse Software, Inc
88475|7760.0|X-COM: UFO Defense|1993|MicroProse Software, Inc
88476|20510.0|S.T.A.L.K.E.R.: Clear Sky|2008|GSC Game World
88477|17330.0|Crysis Warhead®|2008|Crytek
88478|17300.0|Crysis|2007|Crytek
88479|7730.0|X-COM: Interceptor|1998|MicroProse Software, Inc
88480|20900.0|The Witcher: Enhanced Edition Director's Cut|2008|CD PROJEKT RED
88481|1530.0|Multiwinia|2008|Introversion Software
88482|8690.0|STCC - The Game 1 - Expansion Pack for RACE 07|2008|SimBin
88483|17120.0|Children of the Nile: Alexandria|2008|Tilted Mill Entertainment, Inc.
88484|16810.0|Sid Meier's Civilization IV: Colonization|2008|Firaxis Games
88485|19830.0|Tom Clancy's Rainbow Six® 3 Gold|2003|Red Storm Entertainment,Ubisoft Montreal
88486|21000.0|LEGO Batman|2008|Traveller's Tales
88487|4460.0|City Life 2008|2008|Monte Cristo
88488|17140.0|Hinterland|2008|Tilted Mill Entertainment, Inc.
88489|15390.0|Brothers in Arms: Hell's Highway™|2008|Gearbox Software
88490|21300.0|Gravitron 2|2008|Dark Castle Software
88491|3050.0|Xpand Rally Xtreme|2006|Techland
88492|15380.0|Heroes of Might &amp; Magic V: Hammers of Fate|2006|Nival
88493|19800.0|Brothers in Arms: Earned in Blood™|2005|Gearbox Software
88494|15370.0|Heroes of Might &amp; Magic V: Tribes of the East|2007|Nival
88495|19930.0|The Settlers®: Rise Of An Empire Gold Edition|2008|Blue Byte
88496|15350.0|Brain Spa|2007|Ubisoft
88497|19810.0|The Sum of All Fears|2002|Red Storm Entertainment
88498|3540.0|Peggle™ Nights|2008|PopCap Games, Inc.
88499|22000.0|World of Goo|2008|2D BOY
88500|2820.0|X3: Terran Conflict|2008|Egosoft
88501|1230.0|Mare Nostrum|2008|Sandstorm Productions
88502|18300.0|Spectraball|2008|Shorebound Studios
88503|20200.0|Galactic Bowling|2008|Perpetual FX Creative
88504|12200.0|Bully: Scholarship Edition|2008|Rockstar New England
88505|19900.0|Far Cry® 2: Fortune's Edition|2008|Ubisoft Montreal
88506|11240.0|Space Trader: Merchant Marine|2008|Meridian4
88507|256522.0|PRR Wagon Pack 01|2009|RailSimulator.com
88508|275144.0|"Class 421 London South East ""Jaffa Cake"""|2009|RailSimulator.com
88509|256521.0|ATSF Wagon Pack 01|2009|RailSimulator.com
88510|222569.0|GP20 Union Pacific Add-on Livery|2009|Reppo
88511|256535.0|UK Van Wagon Pack|2009|RailSimulator.com
88512|256611.0|CSX SD70MAC Add-on Livery|2009|Dovetail Games
88513|256576.0|CSX ES44AC Add-on Livery|2009|Dovetail Games
88514|9480.0|Saints Row 2|2009|Volition
88515|17470.0|Dead Space|2008|EA Redwood Shores
88516|12770.0|Rise of the Argonauts|2008|Liquid Entertainment
88517|17410.0|Mirror's Edge™|2009|DICE
88518|18500.0|Defense Grid: The Awakening|2008|Hidden Path Entertainment
88519|16450.0|F.E.A.R. 2: Project Origin|2009|Monolith
88520|15400.0|Harvest: Massive Encounter|2008|Oxeye Game Studio
88521|18600.0|Mayhem Intergalactic|2007|Inventive Dingo
88522|11340.0|Larva Mortus|2009|Meridian4
88523|25830.0|Knights of Honor|2005|Black Sea Studios Ltd
88524|23460.0|Ceville|2009|Realmforge Studios
88525|10600.0|Empire: Total War™ - Special Forces Units &amp; Bonus Content|2009|The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
88526|21010.0|Watchmen: The End is Nigh|2009|Deadline Games
88527|22180.0|Penumbra Overture|2007|Frictional Games
88528|13210.0|Unreal Tournament 3 Black|2007|Epic Games, Inc.
88529|12640.0|Drakensang|2009|Radon Labs
88530|21600.0|Age of Booty™|2009|Certain Affinity™
88531|27020.0|The Graveyard|2008|Tale of Tales
88532|24740.0|Burnout Paradise: The Ultimate Box|2009|Criterion Games
88533|90047.0|Zombie Master|2009|Zombie Master Team
88534|26000.0|The Maw|2009|Twisted Pixel Games
88535|26006.0|The Maw: River Redirect|2009|Twisted Pixel Games
88536|26005.0|The Maw: Brute Force|2009|Twisted Pixel Games
88537|11330.0|Obulis|2009|IonFX
88538|27800.0|Space Giraffe|2009|Llamasoft LTD
88539|9850.0|Codename: Panzers - Cold War|2009|InnoGlow,Stormregion,THQ Nordic
88540|3600.0|Escape Rosecliff Island|2009|SpinTop Games
88541|29580.0|Guild Wars Nightfall®|2006|ArenaNet®
88542|29540.0|Guild Wars® Game of the Year Edition|2005|ArenaNet®
88543|29560.0|Guild Wars Factions®|2006|ArenaNet®
88544|29570.0|Guild Wars Trilogy|2008|ArenaNet®
88545|23700.0|Puzzle Kingdoms|2009|Infinite Interactive
88546|16060.0|Samantha Swift and the Golden Touch|2009|MumboJumbo
88547|1930.0|Two Worlds Epic Edition|2009|Reality Pump Studios
88548|18470.0|Helldorado|2009|Spellbound
88549|7510.0|X-Blades|2009|Gaijin Entertainment
88550|22200.0|Zeno Clash|2009|ACE Team
88551|26007.0|The Maw: Speeder Lane|2009|Twisted Pixel Games
88552|25900.0|King's Bounty: The Legend|2008|1C Company
88553|16200.0|Virtual Families|2009|Last Day of Work
88554|7840.0|Death Track®: Resurrection|2009|Sky Fallen
88555|8890.0|Freedom Force vs. the Third Reich|2005|Irrational Games
88556|8880.0|Freedom Force|2002|Irrational Games
88557|34500.0|Light of Altair|2009|SaintXi
88558|1280.0|Darkest Hour: Europe '44-'45|2009|Darklight Games
88559|10150.0|Prototype™|2009|Radical Entertainment
88560|29160.0|Blueberry Garden|2009|Erik Svedäng
88561|12470.0|Port Royale 2|2004|Ascaron Entertainment ltd.
88562|22340.0|Call of Cthulhu®: Dark Corners of the Earth|2006|Headfirst Productions
88563|22330.0|The Elder Scrolls IV: Oblivion® Game of the Year Edition|2007|Bethesda Game Studios
88564|22320.0|The Elder Scrolls III: Morrowind® Game of the Year Edition|2002|Bethesda Game Studios
88565|900883.0|The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe|2009|Bethesda Game Studios®
88566|12440.0|Ankh 2: Heart of Osiris|2007|Deck 13
88567|32710.0|Armored Fist 3|1999|NovaLogic
88568|32740.0|MiG-29 Fulcrum|1998|NovaLogic
88569|12460.0|BC Kings|2008|Mascot Entertainment
88570|21980.0|Call of Juarez®: Bound in Blood|2009|Techland
88571|31860.0|Nancy Drew®: Legend of the Crystal Skull|2007|HeR Interactive
88572|31900.0|Nancy Drew®: The Creature of Kapu Cave|2006|HeR Interactive
88573|31920.0|Nancy Drew®: The Phantom of Venice|2008|HeR Interactive
88574|31930.0|Nancy Drew®: The White Wolf of Icicle Creek|2007|HeR Interactive
88575|35800.0|BRAINPIPE: A Plunge to Unhumanity|2008|Digital Eel
88576|12690.0|Hunting Unlimited 2010|2009|ValuSoft, Retroism
88577|31170.0|Tales of Monkey Island Complete Pack|2009|Telltale Games
88578|21660.0|Street Fighter® IV|2009|Capcom
88579|6080.0|Thrillville®: Off the Rails™|2007|Frontier
88580|6010.0|Indiana Jones® and the Fate of Atlantis™|1992|LucasArts
88581|6090.0|Armed and Dangerous®|2003|Planet Moon Studios
88582|6060.0|Star Wars: Battlefront 2 (Classic, 2005)|2005|Pandemic Studios
88583|32310.0|Indiana Jones® and the Last Crusade™|1989|LucasArts
88584|32330.0|LEGO® Indiana Jones™: The Original Adventures|2008|Traveller's Tales
88585|32360.0|The Secret of Monkey Island: Special Edition|2009|LucasArts
88586|35300.0|Warfare|2008|GFI Russia
88587|35310.0|Clutch|2009|Targem Games
88588|31980.0|Nancy Drew®: Ransom of the Seven Ships|2009|HeR Interactive
88589|31990.0|Nancy Drew®: Ransom of the Seven Ships Demo|2009|Her Interactive
88590|10140.0|3D Ultra™ Minigolf Adventures|2006|Wanako Games
88591|10100.0|King's Quest™ Collection|2006|Sierra
88592|10130.0|TimeShift™|2007|Saber Interactive
88593|10110.0|Space Quest™ Collection|2006|Sierra
88594|1256.0|Killing Floor Outbreak Character Pack|2009|Tripwire Interactive
88595|10120.0|Aces of the Galaxy™|2008|Artech Studios
88596|33520.0|Tropico Reloaded|2009|PopTop Software,BreakAway Games,Frog City Software
88597|3610.0|Mystery P.I. - Lost in Los Angeles|2009|SpinTop Games
88598|21680.0|Bionic Commando: Rearmed|2008|Capcom
88599|21670.0|Bionic Commando|2009|Capcom
88600|21030.0|Watchmen: The End is Nigh Part 2|2009|Deadline Games
88601|36000.0|Foreign Legion: Buckets of Blood|2009|Sakari Indie
88602|32370.0|STAR WARS™ - Knights of the Old Republic™|2003|BioWare,Aspyr (Mac)
88603|29180.0|Osmos|2009|Hemisphere Games
88604|38410.0|Fallout 2: A Post Nuclear Role Playing Game|1998|Black Isle Studios
88605|38420.0|Fallout Tactics: Brotherhood of Steel|2001|14° East
88606|38430.0|Kingpin — Life of Crime|1999|Xatrix Entertainment
88607|38440.0|Sacrifice|2000|Shiny Entertainment
88608|35050.0|Mini Ninjas Demo|2009|IO Interactive
88609|31180.0|Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay|2009|Telltale Games
88610|37960.0|Jewel Quest Pack|2009|iWin
88611|38000.0|Mahjong Quest Collection|2009|iWin
88612|37400.0|Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack|2009|Size Five Games
88613|13570.0|Tom Clancy's Splinter Cell Chaos Theory®|2005|Ubisoft Montreal
88614|11390.0|Crash Time 2|2009|Meridian4
88615|34420.0|XIII Century – Gold Edition|2009|Unicorn Games Studio
88616|43100.0|World of Zoo|2009|Blue Fang
88617|33730.0|18 Wheels of Steel: Extreme Trucker|2009|ValuSoft, Retroism
88618|35000.0|Mini Ninjas|2009|IO Interactive
88619|39392.0|Freeze Tag Fun Pack #2|2009|Freeze Tag Inc.,iQ212
88620|39391.0|Freeze Tag Fun Pack #1|1999|Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment
88621|37600.0|Windosill|2009|Vectorpark, Inc.
88622|24029.0|Train Simulator: Colton &amp; Northern Route Add-On|2009|All Aboard
88623|32140.0|Midnight Mysteries|2009|MumboJumbo
88624|31190.0|Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan|2009|Telltale Games
88625|32770.0|Joint Operations: Combined Arms Gold|2009|NovaLogic
88626|208306.0|Train Simulator: US Loco &amp; Asset Pack|2009|Dovetail Games
88627|37300.0|DinerTown Tycoon|2009|PlayFirst
88628|208300.0|Train Simulator: European Loco &amp; Asset Pack|2009|Dovetail Games
88629|40300.0|Risen|2009|Piranha Bytes
88630|35070.0|Flora's Fruit Farm|2009|Honeyslug
88631|10606.0|Empire: Total War™ - The Warpath Campaign|2009|The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
88632|40700.0|Machinarium|2009|Amanita Design
88633|24840.0|Medal of Honor: Airborne|2007|EA Los Angeles
88634|24870.0|Need for Speed: Shift|2009|Slightly Mad Studios
88635|41500.0|Torchlight|2009|Runic Games
88636|24800.0|Command &amp; Conquer: Red Alert 3 - Uprising|2009|EA Los Angeles
88637|901735.0|The Stronghold Collection|2009|FireFly Studios
88638|42800.0|East India Company: Privateer|2009|Nitro Games
88639|39560.0|Painkiller: Resurrection|2009|Homegrown Games
88640|39550.0|SpellForce 2 - Anniversary Edition|2009|Phenomic,THQ Nordic
88641|40330.0|Secret Files: Tunguska|2009|Animation Arts
88642|40320.0|Rush for Berlin Gold|2009|Stormregion
88643|31200.0|Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood|2009|Telltale Games
88644|3130.0|Men of War: Red Tide|2009|1C Company
88645|41100.0|Hammerfight|2009|Konstantin Koshutin
88646|39540.0|SpellForce - Platinum Edition|2009|Phenomic
88647|34640.0|Massive Assault: Phantom Renaissance|2005|Wargaming.net
88648|34630.0|Massive Assault|2003|Wargaming.net
88649|42200.0|Nancy Drew® Dossier: Resorting to Danger!|2009|HeR Interactive
88650|41000.0|Serious Sam HD: The First Encounter|2009|Croteam
88651|40340.0|Secret Files 2: Puritas Cordis|2009|Animation Arts
88652|17450.0|Dragon Age: Origins|2009|BioWare
88653|37100.0|Aztaka|2009|Citeremis Inc.
88654|37500.0|Magnetis|2009|Yullaby
88655|42810.0|For The Glory: A Europa Universalis Game|2009|Crystal Empire Games
88656|10180.0|Call of Duty®: Modern Warfare® 2|2009|Infinity Ward,Aspyr (Mac)
88657|32440.0|LEGO® Star Wars™ - The Complete Saga|2009|Traveller's Tales,Feral Interactive (Mac)
88658|11450.0|Overlord™|2007|Triumph Studios,Virtual Programming
88659|12710.0|Overlord™: Raising Hell|2008|Triumph Studios,Virtual Programming
88660|24790.0|Command &amp; Conquer 3: Tiberium Wars|2007|EA Los Angeles
88661|29120.0|Yumsters 2: Around the World|2008|KranX Productions
88662|24810.0|Command &amp; Conquer 3: Kane's Wrath|2009|EA Los Angeles
88663|41800.0|Gratuitous Space Battles|2009|Positech Games
88664|45300.0|Wings of Prey|2009|Gaijin Entertainment
88665|41900.0|The Bard's Tale|2005|inXile Entertainment
88666|35420.0|Defence Alliance 2|2009|Defence Alliance Team
88667|32430.0|STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition|2009|LucasArts,Aspyr Studios
88668|25806.0|Europa Universalis III: Heir to the Throne|2009|Paradox Interactive
88669|22370.0|Fallout 3: Game of the Year Edition|2009|Bethesda Game Studios
88670|41802.0|Gratuitous Space Battles: The Tribe|2009|Positech Games
88671|38080.0|Build-A-Lot|2007|Hip Soft
88672|38090.0|Build-A-Lot 2: Town of the Year|2008|Hip Soft
88673|38100.0|Build-A-Lot 3: Passport to Europe|2009|Hip Soft
88674|38070.0|Coconut Queen|2009|iWin
88675|38210.0|Roogoo|2009|Spidermonk Entertainment
88676|45700.0|Devil May Cry 4|2008|Capcom
88677|46410.0|Avencast: Rise of the Mage|2010|ClockStone Studios
88678|38110.0|Build-A-Lot 4: Power Source|2009|Hip Soft
88679|17570.0|Pirates, Vikings, and Knights II|2010|Octoshark Studios
88680|38130.0|Farm Frenzy 2|2008|Alawar
88681|38160.0|Farm Frenzy 3: American Pie|2010|Alawar
88682|38150.0|Farm Frenzy 3|2009|Alawar
88683|38120.0|Farm Frenzy|2007|Alawar
88684|38140.0|Farm Frenzy: Pizza Party|2009|Alawar
88685|36300.0|Cake Mania Main Street™|2010|Sandlot Games
88686|36310.0|Westward® IV: All Aboard|2010|Sandlot Games
88687|36320.0|Iron Roses|2010|Cateia Games
88688|37030.0|UFO: Extraterrestrials Gold|2010|Chaos Concept
88689|32450.0|LEGO® Indiana Jones™ 2: The Adventure Continues|2010|Traveller's Tales
88690|34180.0|Vancouver 2010™ - The Official Video Game of the Olympic Winter Games|2010|Eurocom
88691|44100.0|Super Laser  Racer|2010|New Star Games Ltd
88692|25960.0|Hearts of Iron III: Soviet Infantry Pack DLC|2010|Paradox Interactive
88693|46250.0|NecroVisioN: Lost Company|2010|The Farm 51
88694|38180.0|Cradle of Persia|2007|Awem Studio
88695|10695.0|Aliens vs. Predator Swarm Map Pack|2010|Rebellion
88696|41050.0|Serious Sam Classic: The First Encounter|2001|Croteam
88697|24055.0|Train Simulator: Fort Kent to Eagle Lake Route Add-On|2010|All Aboard
88698|48700.0|Mount &amp; Blade: Warband|2010|TaleWorlds Entertainment
88699|39900.0|Coniclysm|2010|ZoopTEK
88700|49900.0|Plain Sight|2010|Beatnik Games
88701|42120.0|Lead and Gold: Gangs of the Wild West|2010|Fatshark
88702|12220.0|Grand Theft Auto: Episodes from Liberty City|2010|Rockstar North / Toronto
88703|45730.0|Dark Void™ Zero|2010|Other Ocean Interactive
88704|45400.0|Fortix|2010|Nemesys Games
88705|49600.0|Beat Hazard|2010|Cold Beam Games
88706|901399.0|Sam &amp; Max: The Devil’s Playhouse|2010|Telltale Games
88707|43500.0|M.U.D. TV|2010|Realmforge Studios
88708|45302.0|Wings of Luftwaffe Add-on|2010|Gaijin Entertainment
88709|40930.0|The Misadventures of P.B. Winterbottom|2010|The Odd Gentlemen
88710|39640.0|AquaNox 2: Revelation|2003|THQ Nordic
88711|39630.0|AquaNox|2001|THQ Nordic
88712|23150.0|Fluttabyes|2010|Red Chain Games Ltd.
88713|50940.0|Hidden Expedition: Titanic|2006|Big Fish Games
88714|50920.0|Hidden Expedition: Amazon|2008|Big Fish Games
88715|34178.0|Napoleon: Total War™ - Coalition Battle Pack|2010|The Creative Assembly,Feral Interactive (Mac)
88716|37340.0|Fitness Dash™|2008|Sarbakan
88717|37390.0|Gemini Lost™|2009|PlayFirst
88718|37310.0|DinerTown Detective Agency™|2009|Absolutist Ltd.
88719|37360.0|Mahjong Roadshow™|2007|PlayFirst
88720|49000.0|Hotel Dash™ Suite Success™|2009|PlayFirst
88721|37330.0|Nightshift Legacy: The Jaguar's Eye™|2010|PlayFirst
88722|37320.0|The Nightshift Code™|2008|PlayFirst
88723|37370.0|TriJinx: A Kristine Kross Mystery™|2007|PlayFirst
88724|37380.0|Valerie Porter and the Scarlet Scandal™|2009|PlayFirst
88725|19080.0|Biozone|2010|G5 Entertainment
88726|31700.0|Iron Grip: Warlord|2008|ISOTX
88727|19030.0|Rocket Knight|2010|Climax Studios
88728|50820.0|Max and the Magic Marker|2010|Press Play
88729|49800.0|Flight of the Icarus|2010|Muse Games
88730|33650.0|Puzzler World|2010|Ideas Pad
