title|id|cluster|total_hours
Darkness and a Crowd|659780.0|8|0.0
TAROTICA VOO DOO|603280.0|4|0.0
Chronicles of Vinland|753110.0|2|0.0
Orbitality|753100.0|2|0.0
Medicalholodeck Personal Version|769350.0|2|0.0
Atomic Adam: Episode 1|764280.0|2|0.0
Golf Masters|374970.0|0|0.0
Mirt. Tales of the Cold Land. Chapter 2|758550.0|2|0.0
Advent Rising|3800.0|5|3043.0
DEFCON|1520.0|5|39376.0
The Ship: Single Player|2420.0|5|34235.0
Garry's Mod|4000.0|5|86919468.0
RACE - The WTCC Game|4230.0|5|42.0
Zen of Sudoku|4900.0|5|0.0
Gumboy - Crazy Adventures™|2520.0|5|109.0
Ghost Master®|6200.0|5|10461.0
Vegas: Make It Big™|6210.0|5|544.0
Dreamfall: The Longest Journey|6300.0|5|3212.0
FlatOut 2™|2990.0|5|44263.0
FlatOut|6220.0|5|13155.0
Lost Planet™: Extreme Condition|6510.0|5|10193.0
CivCity: Rome|3980.0|5|59.0
Arx Fatalis|1700.0|5|4489.0
The Longest Journey|6310.0|5|5159.0
Civilization IV®: Warlords|3990.0|5|54271.0
Railroad Tycoon 3|7610.0|5|6015.0
Sid Meier's Railroads!|7600.0|5|31405.0
Railroad Tycoon II Platinum|7620.0|5|82.0
RIP - Trilogy™|2540.0|5|588.0
X-COM: Terror From the Deep|7650.0|5|4180.0
Tomb Raider: Anniversary|8000.0|5|18941.0
Devil May Cry® 3 Special Edition|6550.0|5|12774.0
Sam &amp; Max 101: Culture Shock|8200.0|5|6475.0
Final DOOM|2290.0|5|3069.0
Vigil: Blood Bitterness™|2570.0|5|62.0
Sam &amp; Max 102: Situation: Comedy|8210.0|5|4812.0
Ultimate Doom|2280.0|5|9423.0
Master Levels for Doom II|9160.0|5|1426.0
DOOM II|2300.0|5|17472.0
Wolfenstein 3D|2270.0|5|4755.0
Return to Castle Wolfenstein|9010.0|5|22439.0
QUAKE Mission Pack 1: Scourge of Armagon|9040.0|5|1390.0
Spear of Destiny|9000.0|5|183.0
BloodRayne|3810.0|5|2556.0
QUAKE Mission Pack 2: Dissolution of Eternity|9030.0|5|690.0
QUAKE|2310.0|5|30597.0
Genesis Rising|3230.0|5|1791.0
Warhammer® 40,000: Dawn of War® – Winter Assault|9310.0|5|57164.0
BioShock™|7670.0|5|382851.0
Warhammer® 40,000: Dawn of War® - Game of the Year Edition|4570.0|5|130766.0
Warhammer® 40,000: Dawn of War® - Dark Crusade|4580.0|5|257580.0
Rome: Total War™ - Collection|4760.0|5|556245.0
Rome: Total War™ - Alexander|4770.0|5|24065.0
Mystery Case Files: Madame Fate®|50970.0|5|31.0
Grand Theft Auto|12170.0|5|1518.0
Grand Theft Auto 2|12180.0|5|466.0
Manhunt|12130.0|5|1251.0
Midnight Club 2|12160.0|5|11312.0
Max Payne 2: The Fall of Max Payne|12150.0|5|34836.0
Tomb Raider: Legend|7000.0|5|10270.0
Max Payne|12140.0|5|32588.0
Command &amp; Conquer: Red Alert 3|17480.0|5|229507.0
PuzzleQuest: Challenge of the Warlords|12500.0|5|22823.0
Culpa Innata|12310.0|5|2.0
Prison Tycoon 3™: Lockdown|12510.0|5|9897.0
Hunting Unlimited™ 2008|12530.0|5|248.0
18 Wheels of Steel: American Long Haul|12520.0|5|3166.0
Conflict: Denied Ops|8100.0|5|1511.0
ARMA: Combat Operations|2780.0|5|1994.0
Tycoon City: New York|9730.0|5|0.0
Desperados 2: Cooper's Revenge|9710.0|5|693.0
Death to Spies|9800.0|5|5353.0
Act of War: High Treason|9760.0|5|2875.0
RollerCoaster Tycoon® 3: Platinum|2700.0|5|145657.0
Act of War: Direct Action|2710.0|5|863.0
Unreal 2: The Awakening|13200.0|5|3801.0
Unreal Gold|13250.0|5|3644.0
Ninja Reflex: Steamworks Edition|13000.0|5|676.0
Tom Clancy's Splinter Cell®|13560.0|5|11544.0
Far Cry®|13520.0|5|52926.0
Unreal Tournament: Game of the Year Edition|13240.0|5|34703.0
Tom Clancy's Rainbow Six® Vegas|13540.0|5|4683.0
Silent Hunter® III|15210.0|5|6029.0
Virtual Villagers - The Secret City|16180.0|5|147.0
Mystery P.I.™ - The Vegas Heist|3520.0|5|28.0
Luxor|15970.0|5|47.0
Reaxxion|15950.0|5|0.0
Little Farm|15960.0|5|594.0
7 Wonders II|15900.0|5|34.0
Luxor Amun Rising|15910.0|5|0.0
Luxor 3|15930.0|5|44.0
Petz® Horsez® 2|15160.0|5|0.0
Luxor 2|15920.0|5|8.0
Rayman Raving Rabbids™|15080.0|5|127.0
Silent Hunter®: Wolves of the Pacific|15200.0|5|20047.0
IL-2 Sturmovik: 1946|15320.0|5|24300.0
Silent Hunter®: Wolves of the Pacific U-Boat Missions|15240.0|5|6638.0
Bone: Out From Boneville|8310.0|5|46.0
Midnight Outlaw: 6 Hours to SunUp|12600.0|5|25.0
Bone: The Great Cow Race|8320.0|5|0.0
Sprint Cars Road to Knoxville|12590.0|5|1011.0
Dr. Daisy Pet Vet|12580.0|5|9.0
Ride! Carnival Tycoon|12560.0|5|462.0
Hot Dish|12570.0|5|17.0
Mahjongg Investigations: Under Suspicion|12540.0|5|0.0
Dracula Origin|11050.0|5|34.0
Beijing 2008™ - The Official Video Game of the Olympic Games|10520.0|5|0.0
Sherlock Holmes - Nemesis|11040.0|5|1188.0
Eternity's Child|19500.0|5|1382.0
Pacific Storm Allies|11260.0|5|1796.0
Tank Universal|19200.0|5|953.0
FlatOut: Ultimate Carnage|12360.0|5|19687.0
Oddworld: Abe's Exoddus®|15710.0|5|23222.0
Oddworld: Abe's Oddysee®|15700.0|5|41741.0
GTR Evolution Expansion Pack for RACE 07|8660.0|5|166.0
X-COM: Enforcer|7770.0|5|1276.0
X-COM: Apocalypse|7660.0|5|4935.0
X-COM: UFO Defense|7760.0|5|18447.0
S.T.A.L.K.E.R.: Clear Sky|20510.0|5|114762.0
Crysis Warhead®|17330.0|5|34617.0
Crysis|17300.0|5|189171.0
X-COM: Interceptor|7730.0|5|526.0
The Witcher: Enhanced Edition Director's Cut|20900.0|5|356571.0
Multiwinia|1530.0|5|8980.0
STCC - The Game 1 - Expansion Pack for RACE 07|8690.0|5|2.0
Children of the Nile: Alexandria|17120.0|5|8532.0
Sid Meier's Civilization IV: Colonization|16810.0|5|18474.0
Tom Clancy's Rainbow Six® 3 Gold|19830.0|5|9414.0
LEGO Batman|21000.0|5|33073.0
City Life 2008|4460.0|5|1348.0
Hinterland|17140.0|5|4329.0
Brothers in Arms: Hell's Highway™|15390.0|5|15474.0
Gravitron 2|21300.0|5|61.0
Xpand Rally Xtreme|3050.0|5|87.0
Heroes of Might &amp; Magic V: Hammers of Fate|15380.0|5|7860.0
Brothers in Arms: Earned in Blood™|19800.0|5|6111.0
Heroes of Might &amp; Magic V: Tribes of the East|15370.0|5|34180.0
The Settlers®: Rise Of An Empire Gold Edition|19930.0|5|8730.0
Brain Spa|15350.0|5|0.0
The Sum of All Fears|19810.0|5|0.0
Peggle™ Nights|3540.0|5|32010.0
World of Goo|22000.0|5|30857.0
X3: Terran Conflict|2820.0|5|128398.0
Mare Nostrum|1230.0|5|3087.0
Spectraball|18300.0|5|4750.0
Galactic Bowling|20200.0|5|0.0
Bully: Scholarship Edition|12200.0|5|224809.0
Far Cry® 2: Fortune's Edition|19900.0|5|167065.0
Space Trader: Merchant Marine|11240.0|5|2290.0
PRR Wagon Pack 01|256522.0|1|0.0
"Class 421 London South East ""Jaffa Cake"""|275144.0|1|0.0
ATSF Wagon Pack 01|256521.0|1|0.0
GP20 Union Pacific Add-on Livery|222569.0|9|0.0
UK Van Wagon Pack|256535.0|1|0.0
CSX SD70MAC Add-on Livery|256611.0|1|0.0
CSX ES44AC Add-on Livery|256576.0|1|0.0
Saints Row 2|9480.0|5|581295.0
Dead Space|17470.0|5|186271.0
Rise of the Argonauts|12770.0|5|2852.0
Mirror's Edge™|17410.0|5|413446.0
Defense Grid: The Awakening|18500.0|5|225104.0
F.E.A.R. 2: Project Origin|16450.0|5|89772.0
Harvest: Massive Encounter|15400.0|5|5837.0
Mayhem Intergalactic|18600.0|5|141.0
Larva Mortus|11340.0|5|2145.0
Knights of Honor|25830.0|5|7930.0
Ceville|23460.0|5|894.0
Empire: Total War™ - Special Forces Units &amp; Bonus Content|10600.0|5|0.0
Watchmen: The End is Nigh|21010.0|5|683.0
Penumbra Overture|22180.0|5|11471.0
Unreal Tournament 3 Black|13210.0|5|118284.0
Drakensang|12640.0|5|374.0
Age of Booty™|21600.0|5|800.0
The Graveyard|27020.0|5|1389.0
Burnout Paradise: The Ultimate Box|24740.0|5|308148.0
Zombie Master|90047.0|5|0.0
The Maw|26000.0|5|8550.0
The Maw: River Redirect|26006.0|5|0.0
The Maw: Brute Force|26005.0|5|0.0
Obulis|11330.0|5|1696.0
Space Giraffe|27800.0|5|53.0
Codename: Panzers - Cold War|9850.0|5|1170.0
Escape Rosecliff Island|3600.0|5|747.0
Guild Wars Nightfall®|29580.0|5|0.0
Guild Wars® Game of the Year Edition|29540.0|5|0.0
Guild Wars Factions®|29560.0|5|0.0
Guild Wars Trilogy|29570.0|5|0.0
Puzzle Kingdoms|23700.0|5|14464.0
Samantha Swift and the Golden Touch|16060.0|5|0.0
Two Worlds Epic Edition|1930.0|5|33833.0
Helldorado|18470.0|5|766.0
X-Blades|7510.0|5|16066.0
Zeno Clash|22200.0|5|19591.0
The Maw: Speeder Lane|26007.0|5|0.0
King's Bounty: The Legend|25900.0|5|74089.0
Virtual Families|16200.0|5|331.0
Death Track®: Resurrection|7840.0|5|1452.0
Freedom Force vs. the Third Reich|8890.0|5|2382.0
Freedom Force|8880.0|5|4409.0
Light of Altair|34500.0|5|703.0
Darkest Hour: Europe '44-'45|1280.0|5|171302.0
Prototype™|10150.0|5|125036.0
Blueberry Garden|29160.0|5|197.0
Port Royale 2|12470.0|5|4715.0
Call of Cthulhu®: Dark Corners of the Earth|22340.0|5|6535.0
The Elder Scrolls IV: Oblivion® Game of the Year Edition|22330.0|5|786713.0
The Elder Scrolls III: Morrowind® Game of the Year Edition|22320.0|5|285994.0
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe|900883.0|2|0.0
Ankh 2: Heart of Osiris|12440.0|5|149.0
Armored Fist 3|32710.0|5|0.0
MiG-29 Fulcrum|32740.0|5|0.0
BC Kings|12460.0|5|1753.0
Call of Juarez®: Bound in Blood|21980.0|5|24900.0
Nancy Drew®: Legend of the Crystal Skull|31860.0|5|0.0
Nancy Drew®: The Creature of Kapu Cave|31900.0|5|0.0
Nancy Drew®: The Phantom of Venice|31920.0|5|0.0
Nancy Drew®: The White Wolf of Icicle Creek|31930.0|5|0.0
BRAINPIPE: A Plunge to Unhumanity|35800.0|5|42.0
Hunting Unlimited 2010|12690.0|5|871.0
Tales of Monkey Island Complete Pack|31170.0|5|8842.0
Street Fighter® IV|21660.0|5|49086.0
Thrillville®: Off the Rails™|6080.0|5|3556.0
Indiana Jones® and the Fate of Atlantis™|6010.0|5|2544.0
Armed and Dangerous®|6090.0|5|96.0
Star Wars: Battlefront 2 (Classic, 2005)|6060.0|5|881766.0
Indiana Jones® and the Last Crusade™|32310.0|5|747.0
LEGO® Indiana Jones™: The Original Adventures|32330.0|5|3541.0
The Secret of Monkey Island: Special Edition|32360.0|5|18630.0
Warfare|35300.0|5|7.0
Clutch|35310.0|5|438.0
Nancy Drew®: Ransom of the Seven Ships|31980.0|5|0.0
Nancy Drew®: Ransom of the Seven Ships Demo|31990.0|5|0.0
3D Ultra™ Minigolf Adventures|10140.0|5|302.0
King's Quest™ Collection|10100.0|5|23.0
TimeShift™|10130.0|5|6574.0
Space Quest™ Collection|10110.0|5|19.0
Killing Floor Outbreak Character Pack|1256.0|5|0.0
Aces of the Galaxy™|10120.0|5|115.0
Tropico Reloaded|33520.0|5|2134.0
Mystery P.I. - Lost in Los Angeles|3610.0|5|213.0
Bionic Commando: Rearmed|21680.0|5|1881.0
Bionic Commando|21670.0|5|3333.0
Watchmen: The End is Nigh Part 2|21030.0|5|534.0
Foreign Legion: Buckets of Blood|36000.0|5|3990.0
STAR WARS™ - Knights of the Old Republic™|32370.0|5|427102.0
Osmos|29180.0|5|15265.0
Fallout 2: A Post Nuclear Role Playing Game|38410.0|5|75982.0
Fallout Tactics: Brotherhood of Steel|38420.0|5|17134.0
Kingpin — Life of Crime|38430.0|5|6988.0
Sacrifice|38440.0|5|4815.0
Mini Ninjas Demo|35050.0|5|0.0
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay|31180.0|5|4604.0
Jewel Quest Pack|37960.0|5|263.0
Mahjong Quest Collection|38000.0|5|1.0
Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack|37400.0|5|1213.0
Tom Clancy's Splinter Cell Chaos Theory®|13570.0|5|22596.0
Crash Time 2|11390.0|5|7690.0
XIII Century – Gold Edition|34420.0|5|113.0
World of Zoo|43100.0|5|235.0
18 Wheels of Steel: Extreme Trucker|33730.0|5|2213.0
Mini Ninjas|35000.0|5|11885.0
Freeze Tag Fun Pack #2|39392.0|5|0.0
Freeze Tag Fun Pack #1|39391.0|5|0.0
Windosill|37600.0|5|2677.0
Train Simulator: Colton &amp; Northern Route Add-On|24029.0|5|0.0
Midnight Mysteries|32140.0|5|486.0
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan|31190.0|5|3452.0
Joint Operations: Combined Arms Gold|32770.0|5|8.0
Train Simulator: US Loco &amp; Asset Pack|208306.0|9|0.0
DinerTown Tycoon|37300.0|5|0.0
Train Simulator: European Loco &amp; Asset Pack|208300.0|9|0.0
Risen|40300.0|5|20918.0
Flora's Fruit Farm|35070.0|5|384.0
Empire: Total War™ - The Warpath Campaign|10606.0|5|0.0
Machinarium|40700.0|5|22077.0
Medal of Honor: Airborne|24840.0|5|21412.0
Need for Speed: Shift|24870.0|5|33522.0
Torchlight|41500.0|5|269369.0
Command &amp; Conquer: Red Alert 3 - Uprising|24800.0|5|160016.0
The Stronghold Collection|901735.0|2|0.0
East India Company: Privateer|42800.0|5|598.0
Painkiller: Resurrection|39560.0|5|985.0
SpellForce 2 - Anniversary Edition|39550.0|5|22553.0
Secret Files: Tunguska|40330.0|5|508.0
Rush for Berlin Gold|40320.0|5|51.0
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood|31200.0|5|5277.0
Men of War: Red Tide|3130.0|5|17618.0
Hammerfight|41100.0|5|8534.0
SpellForce - Platinum Edition|39540.0|5|17459.0
Massive Assault: Phantom Renaissance|34640.0|5|0.0
Massive Assault|34630.0|5|0.0
Nancy Drew® Dossier: Resorting to Danger!|42200.0|5|3.0
Serious Sam HD: The First Encounter|41000.0|5|65578.0
Secret Files 2: Puritas Cordis|40340.0|5|1056.0
Dragon Age: Origins|17450.0|5|363857.0
Aztaka|37100.0|5|359.0
Magnetis|37500.0|5|1402.0
For The Glory: A Europa Universalis Game|42810.0|5|672.0
Call of Duty®: Modern Warfare® 2|10180.0|5|726399.0
LEGO® Star Wars™ - The Complete Saga|32440.0|5|88476.0
Overlord™|11450.0|5|67936.0
Overlord™: Raising Hell|12710.0|5|55921.0
Command &amp; Conquer 3: Tiberium Wars|24790.0|5|132174.0
Yumsters 2: Around the World|29120.0|5|173.0
Command &amp; Conquer 3: Kane's Wrath|24810.0|5|95007.0
Gratuitous Space Battles|41800.0|5|53295.0
Wings of Prey|45300.0|5|89466.0
The Bard's Tale|41900.0|5|2837.0
Defence Alliance 2|35420.0|5|22525.0
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition|32430.0|5|113677.0
Europa Universalis III: Heir to the Throne|25806.0|5|0.0
Fallout 3: Game of the Year Edition|22370.0|5|1086501.0
Gratuitous Space Battles: The Tribe|41802.0|5|0.0
Build-A-Lot|38080.0|5|626.0
Build-A-Lot 2: Town of the Year|38090.0|5|7.0
Build-A-Lot 3: Passport to Europe|38100.0|5|15.0
Coconut Queen|38070.0|5|0.0
Roogoo|38210.0|5|73.0
Devil May Cry 4|45700.0|5|46175.0
Avencast: Rise of the Mage|46410.0|5|6310.0
Build-A-Lot 4: Power Source|38110.0|5|683.0
Pirates, Vikings, and Knights II|17570.0|5|93816.0
Farm Frenzy 2|38130.0|5|0.0
Farm Frenzy 3: American Pie|38160.0|5|0.0
Farm Frenzy 3|38150.0|5|0.0
Farm Frenzy|38120.0|5|753.0
Farm Frenzy: Pizza Party|38140.0|5|0.0
Cake Mania Main Street™|36300.0|5|0.0
Westward® IV: All Aboard|36310.0|5|0.0
Iron Roses|36320.0|5|0.0
UFO: Extraterrestrials Gold|37030.0|5|5639.0
LEGO® Indiana Jones™ 2: The Adventure Continues|32450.0|5|21525.0
Vancouver 2010™ - The Official Video Game of the Olympic Winter Games|34180.0|5|19.0
Super Laser  Racer|44100.0|5|1219.0
Hearts of Iron III: Soviet Infantry Pack DLC|25960.0|5|0.0
NecroVisioN: Lost Company|46250.0|5|1216.0
Cradle of Persia|38180.0|5|0.0
Aliens vs. Predator Swarm Map Pack|10695.0|5|0.0
Serious Sam Classic: The First Encounter|41050.0|5|7930.0
Train Simulator: Fort Kent to Eagle Lake Route Add-On|24055.0|5|0.0
Mount &amp; Blade: Warband|48700.0|5|8454309.0
Coniclysm|39900.0|5|17.0
Plain Sight|49900.0|5|6533.0
Lead and Gold: Gangs of the Wild West|42120.0|5|17632.0
Grand Theft Auto: Episodes from Liberty City|12220.0|5|719628.0
Dark Void™ Zero|45730.0|5|253.0
Fortix|45400.0|5|9500.0
Beat Hazard|49600.0|5|84814.0
Sam &amp; Max: The Devil’s Playhouse|901399.0|2|0.0
M.U.D. TV|43500.0|5|2002.0
Wings of Luftwaffe Add-on|45302.0|5|0.0
The Misadventures of P.B. Winterbottom|40930.0|5|3929.0
AquaNox 2: Revelation|39640.0|5|73.0
AquaNox|39630.0|5|27.0
Fluttabyes|23150.0|5|0.0
Hidden Expedition: Titanic|50940.0|5|0.0
Hidden Expedition: Amazon|50920.0|5|0.0
Napoleon: Total War™ - Coalition Battle Pack|34178.0|5|0.0
Fitness Dash™|37340.0|5|0.0
Gemini Lost™|37390.0|5|167.0
DinerTown Detective Agency™|37310.0|5|1.0
Mahjong Roadshow™|37360.0|5|86.0
Hotel Dash™ Suite Success™|49000.0|5|0.0
Nightshift Legacy: The Jaguar's Eye™|37330.0|5|0.0
The Nightshift Code™|37320.0|5|34.0
TriJinx: A Kristine Kross Mystery™|37370.0|5|13.0
Valerie Porter and the Scarlet Scandal™|37380.0|5|0.0
Biozone|19080.0|5|6.0
Iron Grip: Warlord|31700.0|5|11131.0
Rocket Knight|19030.0|5|671.0
Max and the Magic Marker|50820.0|5|2469.0
Flight of the Icarus|49800.0|5|1498.0
Puzzler World|33650.0|5|1898.0
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition|901478.0|2|0.0
Ziro|33660.0|5|94.0
Altered Beast™|34281.0|5|0.0
Comix Zone™|34272.0|5|0.0
SEGA Mega Drive and Genesis Classics|34270.0|5|46789.0
Golden Axe™|34276.0|5|0.0
Ecco the Dolphin™|34274.0|5|0.0
Gain Ground™|34275.0|5|0.0
Shinobi™ III: Return of the Ninja Master|34277.0|5|0.0
Crack Down™|34273.0|5|0.0
VectorMan™|34280.0|5|0.0
Sonic 3D Blast™|34278.0|5|0.0
Shadow Dancer™|34282.0|5|0.0
Space Harrier™ II|34279.0|5|0.0
Alpha Protocol™|34010.0|5|42609.0
Alien Breed: Impact|22610.0|5|2664.0
Fallout 3 - Point Lookout|22440.0|5|0.0
Defense Grid: Resurgence Map Pack 1|18508.0|5|0.0
Fallout 3 - Mothership Zeta|22430.0|5|0.0
Fallout 3 - Broken Steel|22410.0|5|0.0
Fallout 3 - The Pitt|22420.0|5|0.0
Alien Swarm|630.0|5|0.0
Fallout 3 - Operation Anchorage|22400.0|5|0.0
SimCity™ 4 Deluxe Edition|24780.0|5|201422.0
Disciples III - Renaissance Steam Special Edition|33670.0|5|13243.0
Tidalis|40420.0|5|849.0
Razor2: Hidden Skies|34920.0|5|1749.0
The Settlers 7: Uncharted Land Map Pack|48136.0|5|0.0
Dimensity|46720.0|5|46.0
Kane &amp; Lynch 2: Dog Days|28000.0|5|18114.0
The Guild II Renaissance|39680.0|5|55599.0
Hearts of Iron III DLC: German II Spritepack|25962.0|5|0.0
Trainz Simulator DLC: Blue Comet|24634.0|5|0.0
Fantasy Wars|63900.0|5|6374.0
Mafia II|50130.0|5|593563.0
Train Simulator: Network Southeast Class 47 Loco Add-On|24075.0|5|0.0
Puzzle Quest 2|47540.0|5|14184.0
Burn Zombie Burn!|50510.0|5|1166.0
Madballs B*D*I Clan Skins|25760.0|5|0.0
Madballs Scorched Evolution Skin Rollup|25763.0|5|0.0
Madballs BDI Evolution Skin Rollup|25762.0|5|0.0
Madballs Holiday Skin Rollup|25764.0|5|0.0
Victoria I Complete|42980.0|5|8723.0
Ship Simulator Extremes|48800.0|5|28584.0
Worms Reloaded|22600.0|5|135590.0
Making History II: The War of the World|46770.0|5|4697.0
Arma 2: British Armed Forces|65700.0|5|49053.0
Victoria II|42960.0|5|480760.0
Booster Trooper Demo|27930.0|5|0.0
Madballs Scorched Clan Skins|25761.0|5|0.0
Kane &amp; Lynch 2: The Doggie Bag|28010.0|5|0.0
Kane &amp; Lynch 2: Multiplayer Masks Pack|28012.0|5|0.0
Trainz: Classic Cabon City|24640.0|5|91.0
Kane &amp; Lynch 2: Alliance Weapon Pack|28011.0|5|0.0
Cossacks: Back to War|4850.0|5|3652.0
Broken Sword: Director's Cut|57640.0|5|6789.0
Chime|62100.0|5|5940.0
Mafia II DLC: Jimmy's Vendetta|50145.0|5|0.0
Sniper: Ghost Warrior - Map Pack|34841.0|5|0.0
VVVVVV|70300.0|5|31670.0
The Settlers 7: Conquest - The Empire Expansion DLC|48137.0|5|0.0
Amnesia: The Dark Descent|57300.0|5|209519.0
Recettear: An Item Shop's Tale|70400.0|5|126553.0
Swarm Arena|46600.0|5|462.0
Super Thunder Blade™|34314.0|5|0.0
Galaxy Force II™|34310.0|5|0.0
Hacker Evolution|70100.0|5|13378.0
Hacker Evolution: Untold|70110.0|5|6242.0
Faerie Solitaire|38600.0|5|52515.0
Patrician IV - Steam Special Edition|57620.0|5|16768.0
Bonanza Bros.™|34284.0|5|0.0
King's Bounty: Crossworlds|63910.0|5|29316.0
Train Simulator: Green &amp; Gold HST DMU Add-On|24082.0|5|0.0
Sid Meier's Civilization® V|8930.0|5|15331061.0
Commander: Conquest of the Americas - Colonial Navy|49310.0|5|0.0
Serious Sam Classic: The Second Encounter|41060.0|5|7971.0
Star Ruler|70900.0|5|14910.0
Blade Kitten|9940.0|5|12809.0
Alien Breed 2: Assault|22650.0|5|5102.0
Serious Sam HD: Gold Edition|901553.0|2|0.0
Darksiders™|50620.0|5|263327.0
X: Beyond the Frontier|2840.0|5|3560.0
The Kings' Crusade|42920.0|5|2830.0
Guild Wars: Eye of the North®|29700.0|5|0.0
X: Tension|2850.0|5|143.0
Age of Wonders II: The Wizard's Throne|61510.0|5|8647.0
Governor of Poker 2|70200.0|5|3001.0
Governor of Poker 2 - Premium Edition|70210.0|5|319.0
Age of Wonders Shadow Magic|61520.0|5|3686.0
Age of Wonders|61500.0|5|1012.0
Medal of Honor™|47790.0|5|66367.0
Grotesque Tactics: Evil Heroes|46450.0|5|2401.0
Lost Planet® 2|45750.0|5|26057.0
Doc Clock: The Toasted Sandwich of Time|57800.0|5|1680.0
Fallout: New Vegas|22380.0|5|6479251.0
The Polynomial - Space of the music|67000.0|5|2379.0
Puzzle Bots|80300.0|5|310.0
Nimbus|50000.0|5|735.0
Civilization V - Babylon (Nebuchadnezzar II)|16868.0|5|0.0
DeathSpank|18040.0|5|9775.0
Virtua Fighter™ 2|71115.0|5|0.0
Columns™ III|34317.0|5|0.0
Sword of Vermilion™|71114.0|5|0.0
Golden Axe™ II|71112.0|5|0.0
Sonic The Hedgehog|71113.0|5|0.0
Flicky™|71111.0|5|0.0
ESWAT™: City Under Siege|71110.0|5|0.0
Ecco™: The Tides of Time|34319.0|5|0.0
Decap Attack™|34318.0|5|0.0
Bio-Hazard Battle™|34316.0|5|0.0
Alien Storm|34315.0|5|0.0
Shank|6120.0|5|14735.0
The Ball|35460.0|5|6739.0
STAR WARS™: The Force Unleashed™ II|32500.0|5|73267.0
Flight Control HD|62000.0|5|7000.0
Patrician III|33570.0|5|22062.0
BIT.TRIP BEAT|63700.0|5|9282.0
Theatre of War 2 - Battle for Caen|46362.0|5|0.0
Woody Two-Legs: Attack of the Zombie Pirates|49320.0|5|161.0
Clones|72400.0|5|201.0
Victoria II: Interwar Spritepack|42964.0|5|0.0
Front Mission Evolved: Wanzer Pack 2|43011.0|5|0.0
Pound of Ground|33980.0|5|262.0
Pat &amp; Mat|65710.0|5|35.0
Alternativa|33990.0|5|4.0
Fish Fillets 2|33950.0|5|234.0
Archon Classic|65400.0|5|905.0
Call of Duty®: Black Ops|42700.0|5|1422941.0
Rhythm Zone Tornado Visualizer DLC|38923.0|5|0.0
Arcadia|72500.0|5|141.0
Oddworld: Munch's Oddysee|15740.0|5|12733.0
Rhythm Zone DJ Table Visualizer DLC|38924.0|5|0.0
Oddworld: Stranger's Wrath HD|15750.0|5|17524.0
Clickr|45500.0|5|5415.0
Back to the Future: The Game|31290.0|5|13348.0
Grand Theft Auto III|12100.0|5|53319.0
Grand Theft Auto: San Andreas|12120.0|5|424368.0
Lara Croft GoL: Raziel and Kain Character Pack|35135.0|5|0.0
Lara Croft GoL: Things that Go Boom - Challenge Pack 2|35137.0|5|0.0
